 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.965                  2.983                  0.638              
   950.000                 -1.133                  2.823                  0.813              
   900.000                 -4.919                  2.008                  0.730              
   850.000                 -8.473                  1.342                  0.639              
   800.000                -12.130                  0.851                  0.532              
   750.000                -15.929                  0.464                  0.396              
   700.000                -19.958                  0.218                  0.285              
   650.000                -24.362                  0.109                  0.216              
   600.000                -29.243                  0.060                  0.174              
   550.000                -34.645                  0.025                  0.137              
   500.000                -40.686                  0.019                  0.170              
   450.000                -47.352                  0.016                  0.270              
   400.000                -54.670                  0.014                  0.459              
   350.000                -62.758                  0.013                  0.896              
   300.000                -71.337                  0.004                  0.968              
   250.000                -74.973                  0.003                  1.007              
   200.000                -73.603                  0.001                  0.233              
   150.000                -74.158                  0.001                  0.150              
   100.000                -72.288                  0.001                  0.076              
    80.000                -68.812                  0.001                  0.038              
    60.000                -61.059                  0.001                  0.010              
    40.000                -50.767                  0.001                  0.002              
    30.000                -42.494                  0.001                  0.001              
    25.000                -26.078                  0.001                  0.000              
