 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.622                  3.350                  0.630              
   950.000                  0.536                  3.176                  0.797              
   900.000                 -3.292                  2.367                  0.740              
   850.000                 -6.840                  1.627                  0.658              
   800.000                -10.446                  1.022                  0.541              
   750.000                -14.126                  0.514                  0.384              
   700.000                -18.002                  0.265                  0.268              
   650.000                -22.429                  0.125                  0.195              
   600.000                -27.257                  0.057                  0.158              
   550.000                -32.636                  0.027                  0.135              
   500.000                -38.669                  0.020                  0.161              
   450.000                -45.306                  0.017                  0.288              
   400.000                -52.578                  0.013                  0.510              
   350.000                -60.672                  0.011                  0.776              
   300.000                -69.696                  0.006                  1.001              
   250.000                -74.292                  0.003                  1.000              
   200.000                -73.112                  0.001                  0.181              
   150.000                -74.143                  0.001                  0.156              
   100.000                -73.189                  0.001                  0.093              
    80.000                -70.594                  0.001                  0.052              
    60.000                -64.143                  0.001                  0.016              
    40.000                -55.487                  0.001                  0.004              
    30.000                -48.995                  0.001                  0.001              
    25.000                -37.490                  0.001                  0.000              
