 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.002                  2.992                  0.647              
   950.000                 -1.095                  2.832                  0.823              
   900.000                 -4.878                  2.011                  0.734              
   850.000                 -8.428                  1.341                  0.647              
   800.000                -12.076                  0.850                  0.541              
   750.000                -15.869                  0.486                  0.411              
   700.000                -19.941                  0.236                  0.303              
   650.000                -24.354                  0.109                  0.235              
   600.000                -29.206                  0.056                  0.195              
   550.000                -34.600                  0.025                  0.161              
   500.000                -40.646                  0.020                  0.192              
   450.000                -47.312                  0.017                  0.292              
   400.000                -54.627                  0.014                  0.471              
   350.000                -62.714                  0.013                  0.851              
   300.000                -71.298                  0.004                  0.930              
   250.000                -74.965                  0.003                  0.977              
   200.000                -73.589                  0.001                  0.271              
   150.000                -74.143                  0.001                  0.159              
   100.000                -72.275                  0.001                  0.071              
    80.000                -68.800                  0.001                  0.036              
    60.000                -61.048                  0.001                  0.010              
    40.000                -50.757                  0.001                  0.002              
    30.000                -42.488                  0.001                  0.001              
    25.000                -26.080                  0.001                  0.000              
