  N levels =   24          CBMF=    21.540     SST=    6.50 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.021       2.996877     0.048    0.00       1.125
    950.0    -1.077       2.837259     0.051    0.00       1.489
    900.0    -4.858       2.017307     0.053    0.00       1.533
    850.0    -8.409       1.347311     0.056    0.00       1.549
    800.0   -12.060       0.855526     0.057    0.00       1.620
    750.0   -15.856       0.484165     0.059    0.00       1.598
    700.0   -19.915       0.230421     0.060    0.00       1.514
    650.0   -24.316       0.105883     0.061    0.00       1.391
    600.0   -29.172       0.057925     0.063    0.00       1.229
    550.0   -34.575       0.025092     0.066    0.00       0.925
    500.0   -40.619       0.019627     0.069    0.00       0.814
    450.0   -47.285       0.016672     0.073    0.00       0.804
    400.0   -54.600       0.014315     0.077    0.00       0.720
    350.0   -62.685       0.013106     0.085    0.00       0.667
    300.0   -71.274       0.004475     0.096    0.00       0.367
    250.0   -74.954       0.003059     0.117    0.00       0.254
    200.0   -73.577       0.001000     0.153    0.00       0.146
    150.0   -74.132       0.001000     0.202    0.00       0.050
    100.0   -72.265       0.001000     0.405    0.00      -0.003
     80.0   -68.791       0.001000     0.755    0.00      -0.006
     60.0   -61.041       0.001000     2.042    0.00      -0.017
     40.0   -50.751       0.001000     5.238    0.00      -0.032
     30.0   -42.484       0.001000     8.440    0.00      -0.043
     25.0   -26.081       0.001000    10.124    0.00      -0.068
