  N levels =   24          CBMF=    17.551     SST=   11.93 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     9.016       4.745314     0.048    0.00       1.167
    950.0     4.910       4.576002     0.051    0.00       1.410
    900.0     1.372       3.470658     0.053    0.00       1.385
    850.0    -2.310       2.672698     0.056    0.00       1.421
    800.0    -5.695       1.658985     0.057    0.00       1.557
    750.0    -8.983       0.875448     0.059    0.00       1.595
    700.0   -12.606       0.435896     0.060    0.00       1.520
    650.0   -16.580       0.209117     0.061    0.00       1.354
    600.0   -21.087       0.133663     0.063    0.00       1.145
    550.0   -26.294       0.084642     0.066    0.00       0.942
    500.0   -32.265       0.070737     0.069    0.00       0.851
    450.0   -39.118       0.149971     0.073    0.00       0.877
    400.0   -46.746       0.160480     0.077    0.00       0.852
    350.0   -55.069       0.032440     0.085    0.00       0.634
    300.0   -64.159       0.012627     0.096    0.00       0.492
    250.0   -72.409       0.004526     0.117    0.00       0.136
    200.0   -69.991       0.001000     0.153    0.00       0.044
    150.0   -71.349       0.001000     0.202    0.00      -0.012
    100.0   -71.704       0.001000     0.405    0.00      -0.010
     80.0   -70.365       0.001000     0.755    0.00      -0.019
     60.0   -65.585       0.001000     2.042    0.00      -0.050
     40.0   -59.151       0.001000     5.238    0.00      -0.093
     30.0   -55.146       0.001000     8.440    0.00      -0.120
     25.0   -49.835       0.001000    10.124    0.00      -0.155
