  N levels =   24          CBMF=    21.012     SST=    8.06 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.929       3.450371     0.048    0.00       1.375
    950.0     0.842       3.274508     0.051    0.00       1.584
    900.0    -2.979       2.451302     0.053    0.00       1.585
    850.0    -6.540       1.711835     0.056    0.00       1.555
    800.0   -10.132       1.083889     0.057    0.00       1.605
    750.0   -13.765       0.535449     0.059    0.00       1.583
    700.0   -17.576       0.272011     0.060    0.00       1.503
    650.0   -21.952       0.141207     0.061    0.00       1.390
    600.0   -26.757       0.082653     0.063    0.00       1.242
    550.0   -32.117       0.038546     0.066    0.00       1.088
    500.0   -38.071       0.022052     0.069    0.00       1.033
    450.0   -44.701       0.023483     0.073    0.00       1.077
    400.0   -52.067       0.027876     0.077    0.00       0.962
    350.0   -60.324       0.018377     0.085    0.00       0.827
    300.0   -69.160       0.006148     0.096    0.00       0.559
    250.0   -73.963       0.003569     0.117    0.00       0.328
    200.0   -71.709       0.001000     0.153    0.00       0.142
    150.0   -72.115       0.001000     0.202    0.00       0.032
    100.0   -70.543       0.001000     0.405    0.00      -0.009
     80.0   -67.359       0.001000     0.755    0.00      -0.019
     60.0   -59.899       0.001000     2.042    0.00      -0.044
     40.0   -49.952       0.001000     5.238    0.00      -0.077
     30.0   -41.989       0.001000     8.440    0.00      -0.104
     25.0   -26.202       0.001000    10.124    0.00      -0.156
