  N levels =   24          CBMF=    21.593     SST=    6.45 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.968       2.983035     0.048    0.00       0.914
    950.0    -1.130       2.823200     0.051    0.00       1.434
    900.0    -4.917       2.002861     0.053    0.00       1.451
    850.0    -8.473       1.337355     0.056    0.00       1.515
    800.0   -12.127       0.843918     0.057    0.00       1.608
    750.0   -15.903       0.472807     0.059    0.00       1.590
    700.0   -19.956       0.241984     0.060    0.00       1.493
    650.0   -24.407       0.117390     0.061    0.00       1.350
    600.0   -29.276       0.054640     0.063    0.00       1.156
    550.0   -34.647       0.024793     0.066    0.00       0.757
    500.0   -40.690       0.019123     0.069    0.00       0.602
    450.0   -47.355       0.016150     0.073    0.00       0.550
    400.0   -54.670       0.013788     0.077    0.00       0.440
    350.0   -62.758       0.013330     0.085    0.00       0.412
    300.0   -71.336       0.004433     0.096    0.00       0.126
    250.0   -74.973       0.003050     0.117    0.00       0.051
    200.0   -73.603       0.001000     0.153    0.00       0.020
    150.0   -74.158       0.001000     0.202    0.00       0.005
    100.0   -72.288       0.001000     0.405    0.00      -0.000
     80.0   -68.812       0.001000     0.755    0.00      -0.005
     60.0   -61.059       0.001000     2.042    0.00      -0.014
     40.0   -50.766       0.001000     5.238    0.00      -0.027
     30.0   -42.494       0.001000     8.440    0.00      -0.038
     25.0   -26.078       0.001000    10.124    0.00      -0.060
