 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.030                  3.001                  0.677              
   950.000                 -1.067                  2.842                  0.852              
   900.000                 -4.847                  2.023                  0.754              
   850.000                 -8.399                  1.353                  0.681              
   800.000                -12.059                  0.856                  0.587              
   750.000                -15.851                  0.451                  0.472              
   700.000                -19.840                  0.218                  0.378              
   650.000                -24.260                  0.117                  0.314              
   600.000                -29.162                  0.065                  0.272              
   550.000                -34.561                  0.025                  0.240              
   500.000                -40.594                  0.019                  0.259              
   450.000                -47.261                  0.016                  0.341              
   400.000                -54.578                  0.014                  0.483              
   350.000                -62.667                  0.013                  0.753              
   300.000                -71.261                  0.004                  0.827              
   250.000                -74.945                  0.003                  0.872              
   200.000                -73.566                  0.001                  0.301              
   150.000                -74.121                  0.001                  0.255              
   100.000                -72.257                  0.001                  0.153              
    80.000                -68.784                  0.001                  0.030              
    60.000                -61.035                  0.001                  0.008              
    40.000                -50.747                  0.001                  0.002              
    30.000                -42.481                  0.001                  0.001              
    25.000                -26.081                  0.001                  0.000              
