 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.994                  2.990                  0.631              
   950.000                 -1.104                  2.830                  0.806              
   900.000                 -4.888                  2.010                  0.727              
   850.000                 -8.442                  1.342                  0.635              
   800.000                -12.092                  0.849                  0.526              
   750.000                -15.876                  0.482                  0.388              
   700.000                -19.941                  0.237                  0.273              
   650.000                -24.367                  0.111                  0.202              
   600.000                -29.226                  0.053                  0.162              
   550.000                -34.610                  0.025                  0.127              
   500.000                -40.658                  0.020                  0.164              
   450.000                -47.325                  0.017                  0.273              
   400.000                -54.641                  0.014                  0.480              
   350.000                -62.728                  0.013                  0.929              
   300.000                -71.307                  0.004                  1.005              
   250.000                -74.968                  0.003                  1.002              
   200.000                -73.595                  0.001                  0.190              
   150.000                -74.148                  0.001                  0.152              
   100.000                -72.279                  0.001                  0.080              
    80.000                -68.803                  0.001                  0.040              
    60.000                -61.051                  0.001                  0.011              
    40.000                -50.760                  0.001                  0.002              
    30.000                -42.489                  0.001                  0.001              
    25.000                -26.079                  0.001                  0.000              
