  N levels =   24          CBMF=    21.607     SST=    6.46 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.980       2.986818     0.048    0.00       0.791
    950.0    -1.118       2.826978     0.051    0.00       1.393
    900.0    -4.903       2.010700     0.053    0.00       1.423
    850.0    -8.457       1.343853     0.056    0.00       1.505
    800.0   -12.113       0.853166     0.057    0.00       1.600
    750.0   -15.911       0.467355     0.059    0.00       1.577
    700.0   -19.946       0.219611     0.060    0.00       1.479
    650.0   -24.347       0.107719     0.061    0.00       1.331
    600.0   -29.222       0.059192     0.063    0.00       1.130
    550.0   -34.629       0.024897     0.066    0.00       0.672
    500.0   -40.673       0.019515     0.069    0.00       0.506
    450.0   -47.339       0.016548     0.073    0.00       0.434
    400.0   -54.654       0.014208     0.077    0.00       0.326
    350.0   -62.737       0.013023     0.085    0.00       0.320
    300.0   -71.320       0.004445     0.096    0.00       0.032
    250.0   -74.973       0.003050     0.117    0.00       0.016
    200.0   -73.604       0.001000     0.153    0.00       0.002
    150.0   -74.162       0.001000     0.202    0.00       0.002
    100.0   -72.318       0.001000     0.405    0.00      -0.001
     80.0   -68.844       0.001000     0.755    0.00      -0.006
     60.0   -61.062       0.001000     2.042    0.00      -0.016
     40.0   -50.762       0.001000     5.238    0.00      -0.031
     30.0   -42.485       0.001000     8.440    0.00      -0.043
     25.0   -26.049       0.001000    10.124    0.00      -0.066
