  N levels =   24          CBMF=    21.079     SST=    6.84 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.410       3.103257     0.048    0.00       1.186
    950.0    -0.688       2.945017     0.051    0.00       1.514
    900.0    -4.433       2.113105     0.053    0.00       1.517
    850.0    -7.966       1.410107     0.056    0.00       1.537
    800.0   -11.594       0.889878     0.057    0.00       1.611
    750.0   -15.379       0.476630     0.059    0.00       1.587
    700.0   -19.349       0.236311     0.060    0.00       1.502
    650.0   -23.766       0.127707     0.061    0.00       1.373
    600.0   -28.659       0.070333     0.063    0.00       1.208
    550.0   -34.041       0.027056     0.066    0.00       0.956
    500.0   -40.068       0.020083     0.069    0.00       0.841
    450.0   -46.743       0.017467     0.073    0.00       0.843
    400.0   -54.070       0.014970     0.077    0.00       0.714
    350.0   -62.179       0.014408     0.085    0.00       0.629
    300.0   -70.801       0.004810     0.096    0.00       0.355
    250.0   -74.658       0.003204     0.117    0.00       0.192
    200.0   -72.968       0.001000     0.153    0.00       0.069
    150.0   -73.473       0.001000     0.202    0.00       0.023
    100.0   -71.721       0.001000     0.405    0.00      -0.004
     80.0   -68.338       0.001000     0.755    0.00      -0.012
     60.0   -60.701       0.001000     2.042    0.00      -0.031
     40.0   -50.545       0.001000     5.238    0.00      -0.056
     30.0   -42.368       0.001000     8.440    0.00      -0.077
     25.0   -26.109       0.001000    10.124    0.00      -0.118
