  N levels =   24          CBMF=    21.549     SST=    6.50 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.020       2.997351     0.048    0.00       1.057
    950.0    -1.078       2.837731     0.051    0.00       1.481
    900.0    -4.858       2.020077     0.053    0.00       1.495
    850.0    -8.409       1.349876     0.056    0.00       1.530
    800.0   -12.063       0.857356     0.057    0.00       1.608
    750.0   -15.863       0.470971     0.059    0.00       1.587
    700.0   -19.896       0.221043     0.060    0.00       1.497
    650.0   -24.292       0.108217     0.061    0.00       1.366
    600.0   -29.166       0.060270     0.063    0.00       1.193
    550.0   -34.569       0.024909     0.066    0.00       0.864
    500.0   -40.609       0.019182     0.069    0.00       0.735
    450.0   -47.277       0.016277     0.073    0.00       0.711
    400.0   -54.596       0.013924     0.077    0.00       0.595
    350.0   -62.688       0.013449     0.085    0.00       0.537
    300.0   -71.273       0.004477     0.096    0.00       0.255
    250.0   -74.952       0.003060     0.117    0.00       0.139
    200.0   -73.575       0.001000     0.153    0.00       0.054
    150.0   -74.129       0.001000     0.202    0.00       0.017
    100.0   -72.264       0.001000     0.405    0.00      -0.001
     80.0   -68.790       0.001000     0.755    0.00      -0.007
     60.0   -61.040       0.001000     2.042    0.00      -0.020
     40.0   -50.751       0.001000     5.238    0.00      -0.037
     30.0   -42.483       0.001000     8.440    0.00      -0.051
     25.0   -26.081       0.001000    10.124    0.00      -0.079
