 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.020                  2.997                  0.652              
   950.000                 -1.078                  2.838                  0.825              
   900.000                 -4.858                  2.020                  0.737              
   850.000                 -8.409                  1.350                  0.654              
   800.000                -12.063                  0.857                  0.548              
   750.000                -15.863                  0.471                  0.416              
   700.000                -19.896                  0.221                  0.309              
   650.000                -24.292                  0.108                  0.240              
   600.000                -29.166                  0.060                  0.199              
   550.000                -34.569                  0.025                  0.167              
   500.000                -40.609                  0.019                  0.197              
   450.000                -47.277                  0.016                  0.302              
   400.000                -54.596                  0.014                  0.483              
   350.000                -62.688                  0.013                  0.826              
   300.000                -71.273                  0.004                  0.934              
   250.000                -74.952                  0.003                  0.990              
   200.000                -73.575                  0.001                  0.262              
   150.000                -74.129                  0.001                  0.140              
   100.000                -72.264                  0.001                  0.068              
    80.000                -68.790                  0.001                  0.035              
    60.000                -61.040                  0.001                  0.010              
    40.000                -50.751                  0.001                  0.002              
    30.000                -42.483                  0.001                  0.001              
    25.000                -26.081                  0.001                  0.000              
