  N levels =   24          CBMF=    19.081     SST=   10.02 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     7.157       4.132843     0.048    0.00       1.057
    950.0     3.064       3.941562     0.051    0.00       1.357
    900.0    -0.594       3.049614     0.053    0.00       1.359
    850.0    -4.009       2.133400     0.056    0.00       1.432
    800.0    -7.408       1.380990     0.057    0.00       1.567
    750.0   -10.910       0.833114     0.059    0.00       1.551
    700.0   -14.730       0.502625     0.060    0.00       1.433
    650.0   -18.992       0.313452     0.061    0.00       1.282
    600.0   -23.751       0.184025     0.063    0.00       1.106
    550.0   -29.037       0.100279     0.066    0.00       0.908
    500.0   -35.082       0.095703     0.069    0.00       0.800
    450.0   -41.965       0.108145     0.073    0.00       0.779
    400.0   -49.421       0.077537     0.077    0.00       0.661
    350.0   -57.638       0.022629     0.085    0.00       0.539
    300.0   -66.492       0.009067     0.096    0.00       0.320
    250.0   -73.552       0.003796     0.117    0.00       0.127
    200.0   -71.706       0.001000     0.153    0.00       0.025
    150.0   -73.067       0.001000     0.202    0.00      -0.001
    100.0   -72.661       0.001000     0.405    0.00      -0.005
     80.0   -70.307       0.001000     0.755    0.00      -0.028
     60.0   -63.780       0.001000     2.042    0.00      -0.094
     40.0   -55.039       0.001000     5.238    0.00      -0.181
     30.0   -48.640       0.001000     8.440    0.00      -0.245
     25.0   -37.539       0.001000    10.124    0.00      -0.356
