  N levels =   24          CBMF=    21.013     SST=    6.88 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.464       3.118637     0.048    0.00       1.030
    950.0    -0.633       2.960591     0.051    0.00       1.431
    900.0    -4.374       2.126427     0.053    0.00       1.444
    850.0    -7.905       1.419476     0.056    0.00       1.517
    800.0   -11.530       0.895314     0.057    0.00       1.623
    750.0   -15.311       0.479211     0.059    0.00       1.593
    700.0   -19.277       0.240026     0.060    0.00       1.483
    650.0   -23.697       0.129740     0.061    0.00       1.319
    600.0   -28.588       0.070863     0.063    0.00       1.126
    550.0   -33.972       0.027377     0.066    0.00       0.837
    500.0   -40.002       0.020574     0.069    0.00       0.697
    450.0   -46.678       0.017991     0.073    0.00       0.677
    400.0   -54.006       0.015430     0.077    0.00       0.541
    350.0   -62.116       0.014491     0.085    0.00       0.458
    300.0   -70.741       0.004867     0.096    0.00       0.199
    250.0   -74.662       0.003201     0.117    0.00       0.064
    200.0   -72.995       0.001000     0.153    0.00       0.029
    150.0   -73.525       0.001000     0.202    0.00       0.001
    100.0   -71.739       0.001000     0.405    0.00      -0.005
     80.0   -68.354       0.001000     0.755    0.00      -0.016
     60.0   -60.711       0.001000     2.042    0.00      -0.041
     40.0   -50.540       0.001000     5.238    0.00      -0.075
     30.0   -42.363       0.001000     8.440    0.00      -0.103
     25.0   -26.110       0.001000    10.124    0.00      -0.157
