 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.496                  3.602                  0.659              
   950.000                  1.412                  3.423                  0.830              
   900.000                 -2.299                  2.581                  0.747              
   850.000                 -5.740                  1.763                  0.676              
   800.000                 -9.269                  1.154                  0.564              
   750.000                -12.980                  0.712                  0.424              
   700.000                -16.982                  0.385                  0.311              
   650.000                -21.310                  0.193                  0.238              
   600.000                -26.145                  0.100                  0.194              
   550.000                -31.589                  0.059                  0.180              
   500.000                -37.695                  0.044                  0.218              
   450.000                -44.340                  0.033                  0.375              
   400.000                -51.604                  0.020                  0.624              
   350.000                -59.664                  0.014                  0.709              
   300.000                -68.567                  0.007                  0.976              
   250.000                -74.051                  0.004                  1.008              
   200.000                -72.563                  0.001                  0.172              
   150.000                -73.542                  0.001                  0.133              
   100.000                -72.697                  0.001                  0.078              
    80.000                -70.192                  0.001                  0.046              
    60.000                -63.800                  0.001                  0.015              
    40.000                -55.222                  0.001                  0.004              
    30.000                -48.827                  0.001                  0.001              
    25.000                -37.531                  0.001                  0.000              
