 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.852                  3.411                  0.632              
   950.000                  0.767                  3.236                  0.798              
   900.000                 -3.023                  2.421                  0.748              
   850.000                 -6.536                  1.661                  0.669              
   800.000                -10.127                  1.063                  0.549              
   750.000                -13.828                  0.571                  0.396              
   700.000                -17.727                  0.304                  0.281              
   650.000                -22.150                  0.150                  0.214              
   600.000                -26.952                  0.065                  0.180              
   550.000                -32.320                  0.033                  0.168              
   500.000                -38.394                  0.024                  0.206              
   450.000                -45.090                  0.020                  0.363              
   400.000                -52.373                  0.015                  0.635              
   350.000                -60.459                  0.011                  0.769              
   300.000                -69.465                  0.006                  1.001              
   250.000                -74.161                  0.003                  0.999              
   200.000                -72.895                  0.001                  0.187              
   150.000                -73.930                  0.001                  0.160              
   100.000                -73.016                  0.001                  0.097              
    80.000                -70.454                  0.001                  0.056              
    60.000                -64.030                  0.001                  0.018              
    40.000                -55.405                  0.001                  0.004              
    30.000                -48.944                  0.001                  0.002              
    25.000                -37.502                  0.001                  0.000              
