  N levels =   24          CBMF=    16.442     SST=   10.36 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     7.502       4.280789     0.048    0.00       1.013
    950.0     3.420       4.124079     0.051    0.00       1.308
    900.0    -0.046       3.075977     0.053    0.00       1.348
    850.0    -3.551       2.260232     0.056    0.00       1.450
    800.0    -7.009       1.505440     0.057    0.00       1.597
    750.0   -10.610       0.886257     0.059    0.00       1.596
    700.0   -14.395       0.470917     0.060    0.00       1.483
    650.0   -18.648       0.247399     0.061    0.00       1.318
    600.0   -23.478       0.136040     0.063    0.00       1.103
    550.0   -28.931       0.082140     0.066    0.00       0.872
    500.0   -34.966       0.052031     0.069    0.00       0.748
    450.0   -41.543       0.031925     0.073    0.00       0.739
    400.0   -48.793       0.019500     0.077    0.00       0.618
    350.0   -56.934       0.014741     0.085    0.00       0.482
    300.0   -66.015       0.009867     0.096    0.00       0.260
    250.0   -73.441       0.003865     0.117    0.00       0.008
    200.0   -71.571       0.001000     0.153    0.00       0.012
    150.0   -72.806       0.001000     0.202    0.00      -0.001
    100.0   -72.845       0.001000     0.405    0.00      -0.000
     80.0   -71.324       0.001000     0.755    0.00      -0.002
     60.0   -66.422       0.001000     2.042    0.00      -0.009
     40.0   -59.789       0.001000     5.238    0.00      -0.019
     30.0   -55.542       0.001000     8.440    0.00      -0.025
     25.0   -49.737       0.001000    10.124    0.00      -0.035
