 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  7.502                  4.281                  0.650              
   950.000                  3.420                  4.124                  0.819              
   900.000                 -0.046                  3.076                  0.744              
   850.000                 -3.551                  2.260                  0.686              
   800.000                 -7.009                  1.505                  0.560              
   750.000                -10.610                  0.886                  0.408              
   700.000                -14.395                  0.471                  0.291              
   650.000                -18.648                  0.247                  0.219              
   600.000                -23.478                  0.136                  0.179              
   550.000                -28.931                  0.082                  0.168              
   500.000                -34.966                  0.052                  0.211              
   450.000                -41.543                  0.032                  0.379              
   400.000                -48.793                  0.019                  0.608              
   350.000                -56.934                  0.015                  0.660              
   300.000                -66.015                  0.010                  0.997              
   250.000                -73.441                  0.004                  0.998              
   200.000                -71.571                  0.001                  0.149              
   150.000                -72.806                  0.001                  0.131              
   100.000                -72.845                  0.001                  0.090              
    80.000                -71.324                  0.001                  0.059              
    60.000                -66.422                  0.001                  0.022              
    40.000                -59.789                  0.001                  0.006              
    30.000                -55.542                  0.001                  0.003              
    25.000                -49.737                  0.001                  0.001              
