 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 31.888                 23.975                  0.795              
   950.000                 27.605                 23.697                  0.974              
   900.000                 26.145                 19.850                  0.848              
   850.000                 23.665                 17.520                  0.832              
   800.000                 21.416                 15.467                  0.799              
   750.000                 19.020                 13.684                  0.772              
   700.000                 16.471                 12.043                  0.740              
   650.000                 13.695                 10.498                  0.706              
   600.000                 10.626                  9.007                  0.674              
   550.000                  7.205                  7.503                  0.645              
   500.000                  3.450                  5.831                  0.615              
   450.000                 -1.160                  4.416                  0.556              
   400.000                 -5.790                  2.997                  0.503              
   350.000                -11.255                  1.802                  0.458              
   300.000                -18.203                  0.874                  0.398              
   250.000                -27.005                  0.357                  0.368              
   200.000                -38.972                  0.187                  0.298              
   150.000                -55.085                  0.081                  0.769              
   100.000                -71.455                  0.011                  0.980              
    80.000                -65.085                  0.001                  0.044              
    60.000                -56.607                  0.001                  0.018              
    40.000                -47.466                  0.001                  0.007              
    30.000                -40.281                  0.001                  0.004              
    25.000                -26.974                  0.001                  0.001              
