  N levels =   24          CBMF=    20.911     SST=    6.97 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.558       3.143685     0.048    0.00       1.524
    950.0    -0.540       2.985789     0.051    0.00       1.113
    900.0    -4.274       2.144545     0.053    0.00       1.484
    850.0    -7.805       1.432903     0.056    0.00       1.460
    800.0   -11.422       0.900627     0.057    0.00       1.568
    750.0   -15.179       0.499172     0.059    0.00       1.597
    700.0   -19.170       0.266054     0.060    0.00       1.590
    650.0   -23.621       0.139392     0.061    0.00       1.558
    600.0   -28.497       0.067462     0.063    0.00       1.496
    550.0   -33.842       0.027756     0.066    0.00       1.389
    500.0   -39.870       0.020396     0.069    0.00       1.374
    450.0   -46.547       0.017903     0.073    0.00       1.451
    400.0   -53.877       0.015360     0.077    0.00       1.444
    350.0   -61.994       0.014743     0.085    0.00       1.318
    300.0   -70.637       0.004924     0.096    0.00       1.210
    250.0   -74.546       0.003260     0.117    0.00       0.993
    200.0   -72.750       0.001000     0.153    0.00       0.757
    150.0   -73.235       0.001000     0.202    0.00       0.408
    100.0   -71.528       0.001000     0.405    0.00       0.081
     80.0   -68.208       0.001000     0.755    0.00      -0.003
     60.0   -60.588       0.001000     2.042    0.00      -0.021
     40.0   -50.459       0.001000     5.238    0.00      -0.038
     30.0   -42.314       0.001000     8.440    0.00      -0.051
     25.0   -26.122       0.001000    10.124    0.00      -0.078
