 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  7.505                  4.212                  0.677              
   950.000                  3.405                  4.017                  0.852              
   900.000                 -0.281                  3.134                  0.731              
   850.000                 -3.702                  2.218                  0.685              
   800.000                 -7.113                  1.450                  0.585              
   750.000                -10.597                  0.850                  0.451              
   700.000                -14.345                  0.532                  0.350              
   650.000                -18.580                  0.351                  0.287              
   600.000                -23.322                  0.227                  0.259              
   550.000                -28.628                  0.133                  0.268              
   500.000                -34.660                  0.104                  0.333              
   450.000                -41.567                  0.117                  0.506              
   400.000                -49.015                  0.067                  0.726              
   350.000                -57.215                  0.024                  0.861              
   300.000                -66.071                  0.010                  1.061              
   250.000                -73.275                  0.004                  1.001              
   200.000                -70.695                  0.001                  0.172              
   150.000                -71.929                  0.001                  0.130              
   100.000                -71.045                  0.001                  0.086              
    80.000                -67.996                  0.001                  0.054              
    60.000                -60.150                  0.001                  0.020              
    40.000                -49.774                  0.001                  0.006              
    30.000                -41.735                  0.001                  0.002              
    25.000                -26.222                  0.001                  0.001              
