 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.407                  3.100                  0.689              
   950.000                 -0.692                  2.942                  0.863              
   900.000                 -4.439                  2.107                  0.760              
   850.000                 -7.973                  1.405                  0.694              
   800.000                -11.597                  0.885                  0.600              
   750.000                -15.367                  0.500                  0.488              
   700.000                -19.390                  0.262                  0.398              
   650.000                -23.832                  0.130                  0.335              
   600.000                -28.695                  0.062                  0.294              
   550.000                -34.048                  0.027                  0.267              
   500.000                -40.081                  0.020                  0.286              
   450.000                -46.753                  0.017                  0.375              
   400.000                -54.077                  0.015                  0.510              
   350.000                -62.184                  0.014                  0.692              
   300.000                -70.810                  0.005                  0.789              
   250.000                -74.656                  0.003                  0.859              
   200.000                -72.962                  0.001                  0.329              
   150.000                -73.460                  0.001                  0.271              
   100.000                -71.713                  0.001                  0.141              
    80.000                -68.336                  0.001                  0.028              
    60.000                -60.699                  0.001                  0.008              
    40.000                -50.545                  0.001                  0.002              
    30.000                -42.368                  0.001                  0.001              
    25.000                -26.109                  0.001                  0.000              
