  N levels =   24          CBMF=    21.332     SST=    6.63 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.167       3.037286     0.048    0.00       1.432
    950.0    -0.931       2.878386     0.051    0.00       1.128
    900.0    -4.698       2.054388     0.053    0.00       1.466
    850.0    -8.246       1.371959     0.056    0.00       1.455
    800.0   -11.894       0.863697     0.057    0.00       1.563
    750.0   -15.673       0.451198     0.059    0.00       1.592
    700.0   -19.642       0.231805     0.060    0.00       1.578
    650.0   -24.093       0.128177     0.061    0.00       1.536
    600.0   -29.000       0.068620     0.063    0.00       1.462
    550.0   -34.382       0.026188     0.066    0.00       1.309
    500.0   -40.410       0.019604     0.069    0.00       1.274
    450.0   -47.079       0.016764     0.073    0.00       1.324
    400.0   -54.400       0.014319     0.077    0.00       1.295
    350.0   -62.498       0.013801     0.085    0.00       1.250
    300.0   -71.095       0.004600     0.096    0.00       1.049
    250.0   -74.848       0.003110     0.117    0.00       0.867
    200.0   -73.307       0.001000     0.153    0.00       0.665
    150.0   -73.823       0.001000     0.202    0.00       0.360
    100.0   -72.028       0.001000     0.405    0.00       0.074
     80.0   -68.625       0.001000     0.755    0.00      -0.000
     60.0   -60.920       0.001000     2.042    0.00      -0.017
     40.0   -50.678       0.001000     5.238    0.00      -0.032
     30.0   -42.440       0.001000     8.440    0.00      -0.044
     25.0   -26.091       0.001000    10.124    0.00      -0.067
