 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.141                  3.498                  0.641              
   950.000                  1.051                  3.322                  0.809              
   900.000                 -2.768                  2.506                  0.746              
   850.000                 -6.323                  1.746                  0.672              
   800.000                 -9.913                  1.102                  0.553              
   750.000                -13.550                  0.543                  0.401              
   700.000                -17.363                  0.247                  0.285              
   650.000                -21.710                  0.115                  0.217              
   600.000                -26.479                  0.065                  0.183              
   550.000                -31.840                  0.031                  0.174              
   500.000                -37.836                  0.019                  0.217              
   450.000                -44.482                  0.019                  0.384              
   400.000                -51.833                  0.020                  0.661              
   350.000                -60.070                  0.019                  0.763              
   300.000                -69.062                  0.006                  1.010              
   250.000                -74.075                  0.004                  0.999              
   200.000                -72.773                  0.001                  0.172              
   150.000                -73.795                  0.001                  0.147              
   100.000                -72.899                  0.001                  0.091              
    80.000                -70.346                  0.001                  0.052              
    60.000                -63.930                  0.001                  0.017              
    40.000                -55.322                  0.001                  0.004              
    30.000                -48.889                  0.001                  0.002              
    25.000                -37.516                  0.001                  0.000              
