  N levels =   24          CBMF=     9.989     SST=   25.04 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    22.315      13.257439     0.048    0.00       2.016
    950.0    18.107      13.011656     0.051    0.00       1.814
    900.0    16.176      10.092827     0.053    0.00       1.944
    850.0    13.500       8.333557     0.056    0.00       1.692
    800.0    10.895       6.657176     0.057    0.00       1.602
    750.0     8.211       5.320223     0.059    0.00       1.541
    700.0     5.089       4.326648     0.060    0.00       1.506
    650.0     1.560       3.517127     0.061    0.00       1.518
    600.0    -2.462       2.711186     0.063    0.00       1.552
    550.0    -6.317       1.938243     0.066    0.00       1.615
    500.0   -10.856       1.390967     0.069    0.00       1.745
    450.0   -16.287       0.896055     0.073    0.00       1.945
    400.0   -22.629       0.424243     0.077    0.00       1.994
    350.0   -30.259       0.243725     0.085    0.00       1.734
    300.0   -39.389       0.136670     0.096    0.00       1.481
    250.0   -50.232       0.064554     0.117    0.00       1.253
    200.0   -63.315       0.020807     0.153    0.00       0.853
    150.0   -70.934       0.001687     0.202    0.00       0.233
    100.0   -69.037       0.001000     0.405    0.00      -0.082
     80.0   -66.656       0.001000     0.755    0.00      -0.130
     60.0   -59.819       0.001000     2.042    0.00      -0.267
     40.0   -49.627       0.001000     5.238    0.00      -0.470
     30.0   -41.523       0.001000     8.440    0.00      -0.633
     25.0   -26.686       0.001000    10.124    0.00      -0.929
