  N levels =   24          CBMF=    20.867     SST=    8.18 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.060       3.479463     0.048    0.00       1.538
    950.0     0.972       3.301919     0.051    0.00       1.451
    900.0    -2.842       2.471444     0.053    0.00       1.639
    850.0    -6.388       1.728763     0.056    0.00       1.588
    800.0    -9.954       1.101243     0.057    0.00       1.658
    750.0   -13.573       0.559289     0.059    0.00       1.653
    700.0   -17.380       0.302081     0.060    0.00       1.603
    650.0   -21.770       0.180241     0.061    0.00       1.525
    600.0   -26.601       0.109020     0.063    0.00       1.418
    550.0   -31.954       0.062389     0.066    0.00       1.310
    500.0   -37.902       0.033974     0.069    0.00       1.285
    450.0   -44.598       0.048635     0.073    0.00       1.345
    400.0   -52.022       0.057305     0.077    0.00       1.301
    350.0   -60.229       0.017119     0.085    0.00       1.250
    300.0   -68.967       0.006323     0.096    0.00       1.042
    250.0   -73.909       0.003599     0.117    0.00       0.810
    200.0   -71.534       0.001000     0.153    0.00       0.558
    150.0   -71.902       0.001000     0.202    0.00       0.315
    100.0   -70.366       0.001000     0.405    0.00       0.051
     80.0   -67.201       0.001000     0.755    0.00      -0.015
     60.0   -59.796       0.001000     2.042    0.00      -0.033
     40.0   -49.870       0.001000     5.238    0.00      -0.058
     30.0   -41.944       0.001000     8.440    0.00      -0.078
     25.0   -26.213       0.001000    10.124    0.00      -0.117
