  N levels =   24          CBMF=    18.297     SST=   10.06 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     7.272       4.191091     0.048    0.00       1.041
    950.0     3.182       4.006189     0.051    0.00       1.323
    900.0    -0.431       3.168453     0.053    0.00       1.365
    850.0    -3.837       2.229338     0.056    0.00       1.456
    800.0    -7.330       1.459357     0.057    0.00       1.603
    750.0   -10.926       0.817305     0.059    0.00       1.610
    700.0   -14.710       0.410628     0.060    0.00       1.493
    650.0   -19.016       0.209020     0.061    0.00       1.320
    600.0   -23.853       0.109777     0.063    0.00       1.099
    550.0   -29.253       0.061975     0.066    0.00       0.869
    500.0   -35.217       0.037650     0.069    0.00       0.754
    450.0   -41.777       0.024703     0.073    0.00       0.752
    400.0   -49.054       0.017405     0.077    0.00       0.639
    350.0   -57.192       0.014467     0.085    0.00       0.498
    300.0   -66.270       0.009512     0.096    0.00       0.277
    250.0   -73.472       0.003851     0.117    0.00       0.026
    200.0   -71.717       0.001000     0.153    0.00       0.017
    150.0   -72.935       0.001000     0.202    0.00      -0.000
    100.0   -72.872       0.001000     0.405    0.00      -0.000
     80.0   -71.223       0.001000     0.755    0.00      -0.004
     60.0   -66.123       0.001000     2.042    0.00      -0.014
     40.0   -59.226       0.001000     5.238    0.00      -0.027
     30.0   -54.693       0.001000     8.440    0.00      -0.037
     25.0   -48.184       0.001000    10.124    0.00      -0.051
