 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.400                  3.589                  0.652              
   950.000                  1.315                  3.412                  0.822              
   900.000                 -2.433                  2.594                  0.746              
   850.000                 -5.932                  1.789                  0.674              
   800.000                 -9.512                  1.144                  0.559              
   750.000                -13.198                  0.606                  0.414              
   700.000                -17.056                  0.281                  0.298              
   650.000                -21.393                  0.132                  0.226              
   600.000                -26.255                  0.067                  0.186              
   550.000                -31.705                  0.040                  0.175              
   500.000                -37.739                  0.028                  0.216              
   450.000                -44.341                  0.021                  0.379              
   400.000                -51.579                  0.015                  0.641              
   350.000                -59.662                  0.012                  0.734              
   300.000                -68.614                  0.007                  1.001              
   250.000                -74.067                  0.004                  1.003              
   200.000                -72.645                  0.001                  0.163              
   150.000                -73.643                  0.001                  0.132              
   100.000                -72.783                  0.001                  0.083              
    80.000                -70.252                  0.001                  0.048              
    60.000                -63.847                  0.001                  0.016              
    40.000                -55.258                  0.001                  0.004              
    30.000                -48.849                  0.001                  0.002              
    25.000                -37.526                  0.001                  0.000              
