  N levels =   24          CBMF=    21.608     SST=    6.46 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.969       2.983153     0.048    0.00       0.891
    950.0    -1.129       2.823390     0.051    0.00       1.419
    900.0    -4.916       2.004237     0.053    0.00       1.439
    850.0    -8.471       1.338764     0.056    0.00       1.513
    800.0   -12.124       0.847896     0.057    0.00       1.610
    750.0   -15.910       0.481718     0.059    0.00       1.589
    700.0   -19.978       0.235864     0.060    0.00       1.487
    650.0   -24.401       0.110305     0.061    0.00       1.339
    600.0   -29.257       0.053631     0.063    0.00       1.142
    550.0   -34.639       0.024726     0.066    0.00       0.742
    500.0   -40.684       0.019143     0.069    0.00       0.587
    450.0   -47.349       0.016172     0.073    0.00       0.533
    400.0   -54.664       0.013836     0.077    0.00       0.416
    350.0   -62.750       0.012991     0.085    0.00       0.384
    300.0   -71.334       0.004451     0.096    0.00       0.105
    250.0   -74.971       0.003051     0.117    0.00       0.033
    200.0   -73.600       0.001000     0.153    0.00       0.017
    150.0   -74.155       0.001000     0.202    0.00       0.002
    100.0   -72.286       0.001000     0.405    0.00      -0.001
     80.0   -68.810       0.001000     0.755    0.00      -0.006
     60.0   -61.058       0.001000     2.042    0.00      -0.017
     40.0   -50.766       0.001000     5.238    0.00      -0.031
     30.0   -42.493       0.001000     8.440    0.00      -0.043
     25.0   -26.078       0.001000    10.124    0.00      -0.069
