 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.028                  3.000                  0.675              
   950.000                 -1.069                  2.841                  0.850              
   900.000                 -4.851                  2.018                  0.753              
   850.000                 -8.408                  1.348                  0.678              
   800.000                -12.062                  0.847                  0.583              
   750.000                -15.829                  0.456                  0.467              
   700.000                -19.838                  0.242                  0.372              
   650.000                -24.311                  0.128                  0.309              
   600.000                -29.204                  0.061                  0.267              
   550.000                -34.572                  0.025                  0.236              
   500.000                -40.607                  0.019                  0.257              
   450.000                -47.271                  0.016                  0.341              
   400.000                -54.586                  0.014                  0.484              
   350.000                -62.673                  0.013                  0.757              
   300.000                -71.266                  0.004                  0.830              
   250.000                -74.947                  0.003                  0.886              
   200.000                -73.569                  0.001                  0.296              
   150.000                -74.124                  0.001                  0.249              
   100.000                -72.259                  0.001                  0.145              
    80.000                -68.786                  0.001                  0.030              
    60.000                -61.037                  0.001                  0.008              
    40.000                -50.749                  0.001                  0.002              
    30.000                -42.482                  0.001                  0.001              
    25.000                -26.081                  0.001                  0.000              
