 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  9.929                  5.187                  0.694              
   950.000                  5.822                  5.009                  0.871              
   900.000                  2.490                  3.721                  0.730              
   850.000                 -1.058                  2.863                  0.676              
   800.000                 -4.362                  1.906                  0.596              
   750.000                 -7.668                  1.092                  0.470              
   700.000                -11.166                  0.570                  0.382              
   650.000                -15.200                  0.299                  0.331              
   600.000                -19.832                  0.164                  0.320              
   550.000                -25.124                  0.098                  0.356              
   500.000                -31.082                  0.062                  0.457              
   450.000                -37.708                  0.041                  0.646              
   400.000                -45.089                  0.038                  0.877              
   350.000                -53.454                  0.040                  1.061              
   300.000                -62.817                  0.015                  1.103              
   250.000                -71.542                  0.005                  0.998              
   200.000                -69.883                  0.001                  0.218              
   150.000                -72.371                  0.001                  0.140              
   100.000                -72.356                  0.001                  0.097              
    80.000                -70.289                  0.001                  0.067              
    60.000                -63.333                  0.001                  0.030              
    40.000                -52.688                  0.001                  0.010              
    30.000                -43.614                  0.001                  0.004              
    25.000                -26.214                  0.001                  0.001              
