 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.488                  3.591                  0.662              
   950.000                  1.399                  3.410                  0.833              
   900.000                 -2.377                  2.560                  0.748              
   850.000                 -5.874                  1.772                  0.677              
   800.000                 -9.390                  1.134                  0.565              
   750.000                -12.988                  0.644                  0.426              
   700.000                -16.866                  0.367                  0.314              
   650.000                -21.241                  0.223                  0.241              
   600.000                -26.077                  0.133                  0.197              
   550.000                -31.423                  0.069                  0.182              
   500.000                -37.402                  0.051                  0.220              
   450.000                -44.188                  0.060                  0.377              
   400.000                -51.614                  0.047                  0.622              
   350.000                -59.821                  0.019                  0.701              
   300.000                -68.526                  0.007                  0.965              
   250.000                -74.039                  0.004                  1.010              
   200.000                -72.532                  0.001                  0.180              
   150.000                -73.506                  0.001                  0.130              
   100.000                -72.665                  0.001                  0.077              
    80.000                -70.167                  0.001                  0.045              
    60.000                -63.784                  0.001                  0.015              
    40.000                -55.210                  0.001                  0.004              
    30.000                -48.819                  0.001                  0.001              
    25.000                -37.533                  0.001                  0.000              
