  N levels =   24          CBMF=    21.577     SST=    6.47 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.988       2.988620     0.048    0.00       0.900
    950.0    -1.109       2.828799     0.051    0.00       1.423
    900.0    -4.894       2.007809     0.053    0.00       1.442
    850.0    -8.451       1.341036     0.056    0.00       1.513
    800.0   -12.104       0.846215     0.057    0.00       1.610
    750.0   -15.878       0.474015     0.059    0.00       1.590
    700.0   -19.930       0.242565     0.060    0.00       1.489
    650.0   -24.380       0.117014     0.061    0.00       1.340
    600.0   -29.247       0.054310     0.063    0.00       1.139
    550.0   -34.622       0.024997     0.066    0.00       0.745
    500.0   -40.668       0.019580     0.069    0.00       0.593
    450.0   -47.333       0.016590     0.073    0.00       0.542
    400.0   -54.647       0.014229     0.077    0.00       0.430
    350.0   -62.730       0.013014     0.085    0.00       0.394
    300.0   -71.312       0.004449     0.096    0.00       0.112
    250.0   -74.967       0.003053     0.117    0.00       0.036
    200.0   -73.594       0.001000     0.153    0.00       0.018
    150.0   -74.149       0.001000     0.202    0.00       0.002
    100.0   -72.280       0.001000     0.405    0.00      -0.001
     80.0   -68.804       0.001000     0.755    0.00      -0.006
     60.0   -61.052       0.001000     2.042    0.00      -0.017
     40.0   -50.761       0.001000     5.238    0.00      -0.031
     30.0   -42.490       0.001000     8.440    0.00      -0.043
     25.0   -26.079       0.001000    10.124    0.00      -0.068
