 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.988                  2.989                  0.632              
   950.000                 -1.109                  2.829                  0.806              
   900.000                 -4.894                  2.008                  0.728              
   850.000                 -8.451                  1.341                  0.638              
   800.000                -12.104                  0.846                  0.529              
   750.000                -15.878                  0.474                  0.389              
   700.000                -19.930                  0.243                  0.274              
   650.000                -24.380                  0.117                  0.204              
   600.000                -29.247                  0.054                  0.164              
   550.000                -34.622                  0.025                  0.131              
   500.000                -40.668                  0.020                  0.169              
   450.000                -47.333                  0.017                  0.281              
   400.000                -54.647                  0.014                  0.491              
   350.000                -62.730                  0.013                  0.925              
   300.000                -71.312                  0.004                  1.009              
   250.000                -74.967                  0.003                  1.002              
   200.000                -73.594                  0.001                  0.188              
   150.000                -74.149                  0.001                  0.151              
   100.000                -72.280                  0.001                  0.080              
    80.000                -68.804                  0.001                  0.040              
    60.000                -61.052                  0.001                  0.011              
    40.000                -50.761                  0.001                  0.002              
    30.000                -42.490                  0.001                  0.001              
    25.000                -26.079                  0.001                  0.000              
