 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.986                  2.988                  0.685              
   950.000                 -1.111                  2.829                  0.861              
   900.000                 -4.896                  2.006                  0.761              
   850.000                 -8.453                  1.340                  0.694              
   800.000                -12.109                  0.844                  0.609              
   750.000                -15.879                  0.465                  0.506              
   700.000                -19.912                  0.248                  0.421              
   650.000                -24.386                  0.123                  0.367              
   600.000                -29.261                  0.058                  0.334              
   550.000                -34.628                  0.025                  0.305              
   500.000                -40.667                  0.019                  0.325              
   450.000                -47.331                  0.016                  0.400              
   400.000                -54.647                  0.014                  0.535              
   350.000                -62.735                  0.013                  0.806              
   300.000                -71.314                  0.004                  0.852              
   250.000                -74.966                  0.003                  0.870              
   200.000                -73.593                  0.001                  0.344              
   150.000                -74.148                  0.001                  0.293              
   100.000                -72.280                  0.001                  0.167              
    80.000                -68.804                  0.001                  0.034              
    60.000                -61.053                  0.001                  0.008              
    40.000                -50.761                  0.001                  0.002              
    30.000                -42.490                  0.001                  0.001              
    25.000                -26.079                  0.001                  0.000              
