 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.968                  2.985                  0.623              
   950.000                 -1.129                  2.825                  0.796              
   900.000                 -4.915                  2.006                  0.728              
   850.000                 -8.473                  1.341                  0.634              
   800.000                -12.135                  0.843                  0.523              
   750.000                -15.910                  0.441                  0.382              
   700.000                -19.898                  0.229                  0.268              
   650.000                -24.363                  0.126                  0.200              
   600.000                -29.271                  0.065                  0.164              
   550.000                -34.654                  0.025                  0.128              
   500.000                -40.687                  0.019                  0.165              
   450.000                -47.352                  0.016                  0.273              
   400.000                -54.668                  0.014                  0.486              
   350.000                -62.754                  0.013                  0.956              
   300.000                -71.333                  0.004                  1.001              
   250.000                -74.972                  0.003                  1.000              
   200.000                -73.601                  0.001                  0.205              
   150.000                -74.156                  0.001                  0.167              
   100.000                -72.287                  0.001                  0.087              
    80.000                -68.810                  0.001                  0.044              
    60.000                -61.058                  0.001                  0.012              
    40.000                -50.766                  0.001                  0.003              
    30.000                -42.493                  0.001                  0.001              
    25.000                -26.078                  0.001                  0.000              
