  N levels =   24          CBMF=    20.505     SST=    7.78 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.644       3.348957     0.048    0.00       0.964
    950.0     0.559       3.174802     0.051    0.00       1.361
    900.0    -3.245       2.363867     0.053    0.00       1.397
    850.0    -6.765       1.618792     0.056    0.00       1.504
    800.0   -10.367       1.036605     0.057    0.00       1.640
    750.0   -14.083       0.556172     0.059    0.00       1.611
    700.0   -17.989       0.292598     0.060    0.00       1.501
    650.0   -22.413       0.150162     0.061    0.00       1.328
    600.0   -27.246       0.066768     0.063    0.00       1.118
    550.0   -32.610       0.032748     0.066    0.00       0.810
    500.0   -38.673       0.023637     0.069    0.00       0.635
    450.0   -45.365       0.020178     0.073    0.00       0.626
    400.0   -52.646       0.014631     0.077    0.00       0.478
    350.0   -60.723       0.011481     0.085    0.00       0.420
    300.0   -69.708       0.005561     0.096    0.00       0.147
    250.0   -74.281       0.003397     0.117    0.00       0.026
    200.0   -73.084       0.001000     0.153    0.00       0.014
    150.0   -74.118       0.001000     0.202    0.00       0.002
    100.0   -73.171       0.001000     0.405    0.00       0.000
     80.0   -70.580       0.001000     0.755    0.00      -0.003
     60.0   -64.133       0.001000     2.042    0.00      -0.013
     40.0   -55.479       0.001000     5.238    0.00      -0.025
     30.0   -48.991       0.001000     8.440    0.00      -0.034
     25.0   -37.491       0.001000    10.124    0.00      -0.052
