 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.629                  3.352                  0.624              
   950.000                  0.544                  3.178                  0.790              
   900.000                 -3.274                  2.371                  0.742              
   850.000                 -6.814                  1.630                  0.657              
   800.000                -10.421                  1.032                  0.539              
   750.000                -14.121                  0.528                  0.382              
   700.000                -18.009                  0.244                  0.266              
   650.000                -22.371                  0.120                  0.196              
   600.000                -27.216                  0.070                  0.161              
   550.000                -32.637                  0.029                  0.138              
   500.000                -38.682                  0.021                  0.164              
   450.000                -45.336                  0.018                  0.292              
   400.000                -52.607                  0.013                  0.523              
   350.000                -60.694                  0.011                  0.786              
   300.000                -69.703                  0.006                  1.000              
   250.000                -74.289                  0.003                  0.999              
   200.000                -73.104                  0.001                  0.193              
   150.000                -74.136                  0.001                  0.167              
   100.000                -73.184                  0.001                  0.099              
    80.000                -70.591                  0.001                  0.055              
    60.000                -64.141                  0.001                  0.017              
    40.000                -55.485                  0.001                  0.004              
    30.000                -48.994                  0.001                  0.001              
    25.000                -37.490                  0.001                  0.000              
