 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  6.208                  3.842                  0.655              
   950.000                  2.117                  3.663                  0.826              
   900.000                 -1.642                  2.845                  0.744              
   850.000                 -5.190                  2.021                  0.683              
   800.000                 -8.717                  1.210                  0.567              
   750.000                -12.163                  0.576                  0.420              
   700.000                -15.980                  0.262                  0.308              
   650.000                -20.235                  0.134                  0.243              
   600.000                -24.994                  0.080                  0.211              
   550.000                -30.332                  0.037                  0.210              
   500.000                -36.264                  0.026                  0.263              
   450.000                -42.919                  0.038                  0.445              
   400.000                -50.321                  0.058                  0.698              
   350.000                -58.557                  0.019                  0.769              
   300.000                -67.536                  0.008                  1.020              
   250.000                -73.770                  0.004                  0.999              
   200.000                -72.011                  0.001                  0.164              
   150.000                -73.006                  0.001                  0.137              
   100.000                -72.279                  0.001                  0.090              
    80.000                -69.834                  0.001                  0.055              
    60.000                -63.488                  0.001                  0.019              
    40.000                -54.984                  0.001                  0.005              
    30.000                -48.673                  0.001                  0.002              
    25.000                -37.569                  0.001                  0.001              
