 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  9.142                  4.769                  0.658              
   950.000                  5.034                  4.598                  0.828              
   900.000                  1.486                  3.482                  0.735              
   850.000                 -2.181                  2.657                  0.697              
   800.000                 -5.550                  1.644                  0.569              
   750.000                 -8.858                  0.909                  0.410              
   700.000                -12.451                  0.474                  0.290              
   650.000                -16.402                  0.251                  0.214              
   600.000                -20.941                  0.189                  0.173              
   550.000                -26.172                  0.105                  0.158              
   500.000                -32.154                  0.088                  0.190              
   450.000                -39.056                  0.147                  0.331              
   400.000                -46.709                  0.113                  0.592              
   350.000                -54.923                  0.026                  0.648              
   300.000                -64.076                  0.013                  0.987              
   250.000                -72.414                  0.005                  0.999              
   200.000                -69.973                  0.001                  0.121              
   150.000                -71.198                  0.001                  0.106              
   100.000                -71.803                  0.001                  0.078              
    80.000                -71.062                  0.001                  0.057              
    60.000                -67.484                  0.001                  0.026              
    40.000                -62.665                  0.001                  0.009              
    30.000                -60.387                  0.001                  0.005              
    25.000                -59.245                  0.001                  0.003              
