  N levels =   24          CBMF=    21.607     SST=    6.45 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.965       2.982481     0.048    0.00       0.930
    950.0    -1.132       2.822621     0.051    0.00       1.444
    900.0    -4.919       2.002901     0.053    0.00       1.460
    850.0    -8.476       1.337703     0.056    0.00       1.518
    800.0   -12.130       0.844662     0.057    0.00       1.605
    750.0   -15.907       0.474743     0.059    0.00       1.585
    700.0   -19.965       0.241121     0.060    0.00       1.492
    650.0   -24.411       0.115698     0.061    0.00       1.355
    600.0   -29.274       0.053608     0.063    0.00       1.165
    550.0   -34.647       0.024768     0.066    0.00       0.771
    500.0   -40.690       0.019159     0.069    0.00       0.622
    450.0   -47.354       0.016177     0.073    0.00       0.573
    400.0   -54.669       0.013834     0.077    0.00       0.463
    350.0   -62.754       0.012974     0.085    0.00       0.426
    300.0   -71.338       0.004449     0.096    0.00       0.145
    250.0   -74.972       0.003050     0.117    0.00       0.074
    200.0   -73.602       0.001000     0.153    0.00       0.023
    150.0   -74.157       0.001000     0.202    0.00       0.009
    100.0   -72.287       0.001000     0.405    0.00      -0.000
     80.0   -68.811       0.001000     0.755    0.00      -0.004
     60.0   -61.059       0.001000     2.042    0.00      -0.013
     40.0   -50.767       0.001000     5.238    0.00      -0.024
     30.0   -42.494       0.001000     8.440    0.00      -0.033
     25.0   -26.078       0.001000    10.124    0.00      -0.054
